Genetic marker,Order/suborder,,,,Family,,,,Genus,,,,Species,,,
,Mean,SD,Min,Max,Mean,SD,Min,Max,Mean,SD,Min,Max,Mean,SD,Min,Max
18S rRNA,NA,NA,NA,NA,0.194,0.017,0.164,0.23,0.123,0.022,0.074,0.158,0.013,0.012,0,0.061
28S rRNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS1,NA,NA,NA,NA,0.667,0.023,0.641,0.684,0.603,0.017,0.57,0.632,0.28,0.172,0.074,0.427
ITS2,NA,NA,NA,NA,0.674,0.038,0.6,0.758,0.508,0.06,0.418,0.588,0.144,0.1,0.024,0.285
COI,NA,NA,NA,NA,0.301,0.009,0.279,0.322,0.253,0.019,0.208,0.276,0.121,0.026,0.067,0.176
COII,NA,NA,NA,NA,0.401,0.018,0.365,0.44,0.311,0.016,0.285,0.333,0.122,0.038,0.062,0.213
cytB,NA,NA,NA,NA,0.364,0.01,0.339,0.386,0.295,0.024,0.228,0.321,0.129,0.036,0.063,0.178
NAD1,NA,NA,NA,NA,0.414,0.013,0.377,0.435,0.331,0.034,0.247,0.369,0.136,0.035,0.062,0.185
12S rRNA,NA,NA,NA,NA,0.282,0.02,0.248,0.329,0.208,0.024,0.162,0.241,0.076,0.014,0.016,0.13
16S rRNA,NA,NA,NA,NA,0.317,0.01,0.297,0.344,0.275,0.02,0.209,0.296,0.092,0.04,0.028,0.172
